timestamp_ns,velocidad_ms,velocidad_kmh,aceleracion_long_m_s2,freno_presion,freno_activo,soc_bateria,temperatura_c
0,0.2698,0.97,0.0,0.0,False,85.0,22.0
100000000,3.081,11.09,0.036,0.0,True,85.0,22.0
200000000,0.1155,0.42,0.0,0.0,True,85.0,22.0
300000000,8.0002,28.8,0.0,0.0,True,85.0,22.0
600000000,8.0003,28.8,0.0,0.0,False,84.9999,22.0
2000000000,0.3478,1.25,0.0,0.0,True,84.9999,22.0
4400000000,0.1281,0.46,0.0,0.0,True,84.9999,22.0
7000000000,5.166,18.6,-0.0,0.0,False,84.9999,22.0001
7100000000,1.9971,7.19,0.0,0.0,True,84.9999,22.0001
7800000000,3.4836,12.54,1.0092,0.0,True,84.9977,22.0018
10800000000,0.2221,0.8,0.0,0.0,True,84.9977,22.0017
15600000000,0.1262,0.45,0.0,0.0,True,84.9977,22.0016
17200000000,0.223,0.8,0.0,0.223,True,84.9977,22.0016
20800000000,0.1754,0.63,0.0,0.0,False,84.9977,22.0015
20900000000,0.3969,1.43,0.0,0.0,False,84.9977,22.0015
21000000000,0.9107,3.28,0.0,0.0,False,84.9977,22.0015
21200000000,2.0599,7.42,0.0,0.0,False,84.9977,22.0015
21400000000,4.9502,17.82,0.0,0.0,False,84.9977,22.0015
21600000000,11.857,42.69,0.0,0.0,False,84.9977,22.0016
21700000000,24.6299,88.67,0.0,0.0,False,84.9974,22.0018
33700000000,0.3695,1.33,0.0608,0.0,True,84.9971,22.0018
34200000000,3.0508,10.98,0.0,0.0,False,84.9971,22.0018
34900000000,0.1257,0.45,0.0,0.0,False,84.9971,22.0018
40300000000,0.3548,1.28,0.0,0.3548,True,84.9971,22.0017
40400000000,7.9572,28.65,0.0,0.0,False,84.9971,22.0017
41100000000,1.8359,6.61,-0.5117,0.0,False,84.9975,22.0032
41700000000,1.8437,6.64,-2.0469,0.0,True,84.9986,22.0086
47300000000,1.8594,6.69,-2.0469,0.0,False,85.0095,22.0588
50200000000,0.1132,0.41,0.0,0.0,False,85.0095,22.0571
50500000000,0.2556,0.92,0.0,0.0,False,85.0095,22.0569
50600000000,0.591,2.13,0.0,0.0,False,85.0095,22.0569
